Land Value,SL_Type2,Year Built,Commercial Building Value,HomeSEV,Homestead Percent,Land Improvements Value,Latitude,Property Zip Code,Longitude,Parcel Acres,Residential Building Value,SL_Type,Lead (ppb)
4800,0,1948,0.0,10900,100.0,0,42.985687,48507.0,-83.683807,0.184,75075,1,3.0
4756,0,1950,0.0,10400,100.0,110,43.043256899999996,48506.0,-83.641181,0.33,15971,1,64.0
7430,0,1940,0.0,13000,100.0,0,42.9868152,48507.0,-83.66344529999999,0.132,148523,1,4.0
2250,0,1926,0.0,7500,100.0,0,42.995133,48507.0,-83.69115500000001,0.10300000000000001,52308,0,7.0
17877,0,1946,0.0,17300,100.0,0,43.020795,48503.0,-83.65950500000001,0.115,131848,1,3.0
18000,0,1947,0.0,0,100.0,0,43.002306,48503.0,-83.715542,0.19,27155,0,2.0
1941,0,0,0.0,6400,100.0,0,40.344231,48506.0,-79.812347,0.135,33372,11,81.0
2250,0,1929,0.0,0,0.0,0,43.028007,48504.0,-83.718272,0.115,56976,0,0.0
18354,0,1954,0.0,16500,100.0,480,42.984776200000006,48507.0,-83.7005941,0.245,14211,1,0.0
18750,0,1961,0.0,29900,100.0,0,42.9837836,48507.0,-83.7063896,0.18899999999999997,33434,1,14.0
1437,0,1915,0.0,11500,100.0,0,39.5713977,48503.0,-97.64902109999998,0.11699999999999999,21486,11,1.0
902,0,1970,0.0,7100,100.0,0,43.058818,48505.0,-83.71754399999999,0.094,13247,1,0.0
3787,0,1964,0.0,20300,100.0,0,43.006640000000004,48503.0,-83.655815,0.17600000000000002,33495,1,41.0
17810,0,1939,0.0,14800,100.0,0,43.011315,48503.0,-83.73096600000001,0.126,10172,1,6.0
2200,0,1931,0.0,0,0.0,0,43.004746999999995,48503.0,-83.729663,0.092,60518,0,3.0
38500,0,1956,0.0,41500,100.0,0,42.993746,48507.0,-83.661907,0.505,31006,5,7.0
18750,0,1930,0.0,0,100.0,0,43.021349,48503.0,-83.657864,0.126,96859,5,39.0
1808,0,1953,0.0,14100,100.0,0,43.031415100000004,48504.0,-83.7314125,0.158,127417,1,42.0
1930,0,1947,0.0,19600,100.0,0,43.0337249,48504.0,-83.722842,0.158,176540,11,588.0
7138,0,1955,0.0,8300,100.0,0,42.983969,48507.0,-83.672752,0.163,46356,1,1.0
21290,0,1947,0.0,17100,100.0,2734,43.0200074,48503.0,-83.66239509999998,0.136,141205,1,16.0
410,0,1928,0.0,3700,100.0,0,43.040368,48506.0,-83.669338,0.09699999999999999,6328,5,12.0
745,0,1927,0.0,7900,100.0,0,43.044188,48505.0,-83.703689,0.17300000000000001,45196,0,5.0
919,0,1957,0.0,7400,100.0,0,43.07475720000001,48505.0,-83.7106975,0.172,44400,1,0.0
2700,0,1950,0.0,0,100.0,0,39.3764886,48507.0,-97.1215105,0.10300000000000001,79421,1,0.0
2059,0,1973,0.0,10200,100.0,617,43.043313,48506.0,-83.64765899999999,0.128,115841,1,4.0
18057,0,1983,0.0,28000,100.0,0,33.9943828,48507.0,-117.76807930000001,0.17800000000000002,30880,1,6.0
2762,0,1944,0.0,0,100.0,0,42.986791100000005,48507.0,-83.6846225,0.10800000000000001,84620,5,6.0
45000,0,0,1388555.323,0,0.0,36876,43.020323,48506.0,-83.65121490000001,2.71,0,1,2.0
945,0,1953,0.0,16700,100.0,0,43.043139700000005,48504.0,-83.72043690000001,0.158,26991,1,0.0
1750,0,1955,0.0,0,100.0,0,34.0369458,48506.0,-118.47270900000001,0.115,90348,1,0.0
2200,0,1957,0.0,9100,100.0,0,43.005183,48503.0,-83.727104,0.092,67766,1,1.0
2250,0,1953,0.0,0,0.0,0,43.030777,48506.0,-83.6375969,0.115,46102,1,0.0
934,0,1919,0.0,12100,100.0,0,43.033874,48504.0,-83.716466,0.17800000000000002,78889,11,6.0
13500,0,1956,0.0,15900,100.0,0,43.005964,48503.0,-83.640159,0.138,18268,1,9.0
24780,0,1950,0.0,20600,100.0,0,43.01240429999999,48503.0,-83.72746120000001,0.17800000000000002,14065,0,18.0
1032,0,1880,0.0,3600,100.0,0,43.005596000000004,48503.0,-83.691958,0.255,5510,11,103.0
423,0,1916,0.0,7100,100.0,0,42.999156899999996,48503.0,-83.6762,0.10300000000000001,33917,11,0.0
24888,0,1950,0.0,52900,100.0,0,37.738475,48503.0,-87.113412,0.27899999999999997,39141,1,0.0
0,0,0,0.0,0,0.0,0,43.023824,48503.0,-83.705607,12.199000000000002,0,1,2516.0
3375,0,1928,0.0,0,0.0,0,43.033311600000005,48506.0,-83.6412925,0.10300000000000001,55879,1,101.0
6033,0,1948,0.0,11200,100.0,0,42.983662,48507.0,-83.669584,0.114,69496,1,0.0
675,0,1959,0.0,0,100.0,0,43.027334,48504.0,-83.725291,0.10300000000000001,99648,1,19.0
10000,0,1928,0.0,9500,100.0,0,39.930451399999995,48504.0,-75.15726020000001,0.115,75152,11,62.0
1022,0,1951,0.0,11100,100.0,0,43.042696,48504.0,-83.720742,0.16,17587,1,6.0
17877,0,1967,0.0,17300,100.0,0,41.57499,48503.0,-87.35096,0.115,111795,1,0.0
17877,0,1930,0.0,17600,100.0,0,43.0174054,48503.0,-83.6622314,0.115,105126,0,21.0
1750,0,1956,0.0,0,100.0,0,31.780908,48506.0,-106.456723,0.115,65407,1,0.0
4031,0,1927,0.0,14200,100.0,0,43.0189809,48504.0,-83.7181219,0.307,97611,11,0.0
14835,0,1955,0.0,0,0.0,2311,42.99019860000001,48507.0,-83.7050908,0.16899999999999998,22170,1,7.0
1234,0,1958,0.0,12300,100.0,0,43.056053999999996,48504.0,-83.724958,0.193,105846,1,48.0
7430,0,1927,0.0,10800,100.0,482,42.98681,48507.0,-83.667524,0.132,82833,11,6.0
25792,0,1964,0.0,44200,100.0,0,42.9839005,48507.0,-83.706057,0.271,51018,1,1.0
7000,0,1953,0.0,0,100.0,0,42.998424,48532.0,-83.737148,0.11,13447,1,1.0
18000,0,1962,0.0,23500,100.0,0,42.9953675,48503.0,-83.7302708,0.115,21425,5,2.0
0,0,0,0.0,0,0.0,0,43.04988,48506.0,-83.638079,0.0,0,0,71.0
5290,0,1955,0.0,15300,100.0,0,43.005757,48503.0,-83.724749,0.265,126971,1,3.0
1776,0,1955,0.0,7800,100.0,0,43.0454888,48506.0,-83.6513923,0.11800000000000001,61075,1,1.0
750,0,1952,0.0,0,100.0,0,39.7574014,48504.0,-94.8273935,0.115,20203,1,2.0
14485,0,1930,0.0,0,100.0,0,43.012946899999996,48505.0,-83.727591,0.102,14107,5,2.0
2266,0,1928,0.0,10100,100.0,0,43.023756,48504.0,-83.722317,0.11599999999999999,64433,11,1.0
17877,0,1955,0.0,14300,100.0,0,27.533146999999996,48503.0,-99.51926999999999,0.115,96001,4,257.0
2250,0,1928,0.0,0,0.0,0,43.023946,48504.0,-83.721929,0.115,43499,0,8.0
14050,0,1955,0.0,0,100.0,1849,42.991534,48507.0,-83.706829,0.154,14766,1,0.0
1875,0,1964,0.0,18300,100.0,202,43.070466499999995,48505.0,-83.7210914,0.172,34465,1,0.0
3986,0,1953,0.0,0,100.0,0,43.0383647,48506.0,-83.64682950000001,0.13,51649,1,22.0
16875,0,1943,0.0,14300,100.0,0,40.4251416,48503.0,-79.943292,0.114,83757,1,1.0
868,0,0,182325.0041,0,0.0,373,43.031045,48504.0,-83.715078,0.10400000000000001,0,5,25.0
920,0,1969,0.0,0,0.0,0,43.053754999999995,48504.0,-83.716347,0.132,22776,1,7.0
13750,0,1953,0.0,0,100.0,0,42.9860915,48507.0,-83.70064609999999,0.115,13173,1,2.0
977,0,1919,0.0,8500,100.0,0,43.0333495,48504.0,-83.7201345,0.154,62310,11,8.0
600,0,1950,0.0,8100,100.0,0,43.058937,48505.0,-83.704052,0.092,47901,1,0.0
15022,0,1970,0.0,17800,100.0,924,42.985245,48507.0,-83.70429140000002,0.057999999999999996,19738,0,0.0
850,0,0,0.0,0,100.0,0,43.039926,48506.0,-83.66394,0.1,32915,11,0.0
12375,0,1963,0.0,17200,100.0,0,43.006490899999996,48503.0,-83.638859,0.126,21984,1,0.0
3825,0,1936,0.0,0,100.0,0,43.0502124,48506.0,-83.6530272,0.10300000000000001,13598,1,0.0
13650,0,1953,0.0,18500,100.0,429,42.990653,48507.0,-83.703688,0.149,19315,1,0.0
26143,0,1937,0.0,46200,100.0,0,43.015119,48503.0,-83.667743,0.155,300823,0,279.0
82074,0,0,342808.7762,0,0.0,15873,43.000852,48507.0,-83.65575799999999,2.8310000000000004,0,1,263.0
750,0,0,0.0,0,100.0,0,43.0256542,48504.0,-83.7233147,0.115,70520,1,0.0
6000,0,1928,0.0,10700,100.0,0,42.9889018,48507.0,-83.6992089,0.184,71900,1,0.0
9090,0,1946,0.0,0,100.0,0,42.988746899999995,48507.0,-83.66360300000001,0.17,65124,4,16.0
9500,0,1953,0.0,16300,100.0,0,43.035683,48506.0,-83.643534,0.115,17051,1,11.0
18000,0,1928,0.0,21500,100.0,0,43.001692999999996,48503.0,-83.71510699999999,0.152,18537,0,10.0
17293,0,1956,0.0,0,100.0,0,43.0074537,48503.0,-83.6404318,0.18899999999999997,25211,1,5.0
420,0,1929,0.0,0,100.0,0,35.982400299999995,48506.0,-83.9583405,0.10099999999999999,14106,0,7.0
1500,0,1950,0.0,7500,100.0,0,43.0546999,48505.0,-83.709179,0.172,13492,1,20.0
21696,0,1940,0.0,0,100.0,0,43.0129905,48503.0,-83.7287966,0.153,14090,1,105.0
2035,0,1955,0.0,0,100.0,113,43.0295989,48506.0,-83.6438167,0.10400000000000001,46403,1,0.0
3695,0,1959,0.0,0,100.0,0,42.982405,48507.0,-83.69095290000001,0.159,22260,1,0.0
17877,0,1945,0.0,0,100.0,0,30.119875899999997,48503.0,-94.1244544,0.115,85295,1,1.0
751,0,1927,0.0,0,100.0,0,43.0274099,48504.0,-83.72134100000001,0.115,54906,0,1.0
14110,0,1955,0.0,0,100.0,124,42.990957,48507.0,-83.706283,0.155,15264,1,0.0
5285,0,1953,0.0,0,100.0,0,42.997599,48503.0,-83.72734,0.121,21063,5,68.0
37500,0,1966,0.0,27400,100.0,0,43.0206435,48503.0,-83.66247740000001,0.253,225789,1,5.0
675,0,1952,0.0,11600,100.0,0,43.028485499999995,48504.0,-83.72740309999999,0.10300000000000001,76227,1,0.0
5367,0,1952,0.0,12300,100.0,0,40.3905425,48532.0,-81.3145441,0.11,86234,1,0.0
2145,0,1920,0.0,10300,100.0,0,29.957771,48504.0,-90.124612,0.13,60382,11,270.0
20432,0,1944,0.0,0,100.0,0,43.01562,48503.0,-83.659476,0.153,92013,5,265.0
14722,0,1950,0.0,0,100.0,0,43.0105644,48503.0,-83.72514559999999,0.10400000000000001,11102,0,3.0
420,0,1914,0.0,4900,100.0,0,41.431064899999996,48505.0,-75.639135,0.10099999999999999,20343,11,7.0
108750,1,0,0.0,0,0.0,0,31.6219419,48505.0,-94.6524058,11.25,0,5,1.0
2200,0,1920,0.0,0,100.0,0,43.00508,48503.0,-83.730633,0.092,65048,5,4.0
1500,0,1936,0.0,18000,100.0,0,43.045319899999996,48505.0,-83.706281,0.126,34582,0,16.0
16675,0,1957,0.0,28400,100.0,0,42.986583700000004,48507.0,-83.7073896,0.17600000000000002,32709,1,0.0
975,0,1958,0.0,6700,100.0,0,43.0381211,48506.0,-83.66020920000001,0.13699999999999998,55537,1,7.0
3323,0,1971,0.0,0,0.0,0,42.985622,48507.0,-83.655401,0.16399999999999998,14145,1,3.0
977,0,1952,0.0,0,0.0,0,43.047143,48504.0,-83.716083,0.152,21461,1,0.0
3551,0,1928,0.0,19000,100.0,0,43.049812,48505.0,-83.70836,0.0,34501,0,14.0
1652,0,1950,0.0,5300,100.0,0,39.319618,48506.0,-76.618199,0.114,39731,1,0.0
3289,0,1922,0.0,9300,100.0,0,39.970889,48503.0,-75.21208100000001,0.257,15305,11,0.0
3663,0,1960,0.0,17200,100.0,0,43.052185200000004,48504.0,-83.7280015,0.24100000000000002,75860,1,0.0
2951,0,1949,0.0,8900,100.0,0,43.065539799999996,48505.0,-83.7102973,0.888,59599,1,2.0
26440,0,0,98196.87719,0,0.0,3099,43.0042644,48503.0,-83.7166248,0.19699999999999998,0,1,0.0
1498,0,1955,0.0,9100,100.0,325,43.060412,48504.0,-83.724086,0.226,54428,1,4.0
1575,0,1954,0.0,6600,100.0,0,31.783516,48506.0,-106.45886680000001,0.10300000000000001,49449,1,0.0
1575,0,1954,0.0,0,100.0,0,43.0447806,48506.0,-83.6470232,0.10300000000000001,45869,1,3.0
21929,0,1967,0.0,43500,100.0,0,42.982291100000005,48507.0,-83.70455129999999,0.22899999999999998,53002,1,5.0
750,0,1940,0.0,8400,100.0,0,43.0336955,48503.0,-83.7121687,0.115,45153,11,3.0
1541,0,1917,0.0,7900,100.0,181,43.011226,48503.0,-83.67405,0.128,14069,11,2.0
1500,0,1943,0.0,0,100.0,0,43.03776,48504.0,-83.72843,0.115,93951,9,6.0
33118,0,1924,0.0,40400,100.0,0,38.327172,48503.0,-85.80895100000001,0.17800000000000002,174814,0,56.0
1361,0,1950,0.0,9900,100.0,0,43.001697,48507.0,-83.694896,0.21,82233,1,3.0
23671,0,1949,0.0,22000,100.0,0,43.012482899999995,48503.0,-83.731699,0.182,17344,1,0.0
368,0,1918,0.0,5700,100.0,0,43.009675,48503.0,-83.70154699999999,0.068,9786,11,0.0
2181,0,1956,0.0,13400,100.0,0,43.053525,48504.0,-83.72738100000001,0.122,50982,1,1.0
7000,0,1969,0.0,0,0.0,0,42.999572,48532.0,-83.73705,0.11,15198,1,2.0
8950,0,1952,0.0,14100,100.0,0,43.000067,48532.0,-83.73735,0.289,19310,1,2.0
9500,0,1952,0.0,19300,100.0,0,43.035406,48506.0,-83.6437172,0.115,21581,1,0.0
15578,0,1961,0.0,16800,100.0,3918,34.0209511,48507.0,-80.9799182,0.09,14154,1,20.0
25090,0,1975,0.0,26200,100.0,101,42.989629,48507.0,-83.707317,0.191,27228,1,0.0
769,0,1950,0.0,0,100.0,0,43.025008,48504.0,-83.723778,0.121,64235,1,0.0
10000,0,1928,0.0,14500,100.0,0,43.012039,48504.0,-83.717559,0.115,109273,0,1.0
3480,0,0,348166.6528,0,0.0,2369,31.5717012,48504.0,-97.0968422,0.41200000000000003,0,1,0.0
680,0,1950,0.0,12400,100.0,0,43.0481052,48504.0,-83.7207445,0.092,24155,1,29.0
1200,0,1951,0.0,11200,100.0,0,43.0271829,48504.0,-83.7276323,0.184,77628,1,1.0
1410,0,1963,0.0,21300,100.0,0,43.0665229,48504.0,-83.7283076,0.163,74546,1,5.0
501,0,1929,0.0,0,100.0,0,43.070060999999995,48505.0,-83.691796,0.1,15979,5,8.0
1892,0,1955,0.0,0,0.0,0,43.0300193,48506.0,-83.6425052,0.09699999999999999,39936,1,0.0
15247,0,1927,0.0,15000,100.0,0,43.01375,48504.0,-83.719762,0.276,122247,0,1.0
5285,0,1948,0.0,10800,100.0,0,42.998998,48503.0,-83.72618100000001,0.121,75149,1,11.0
10488,0,1927,0.0,0,100.0,0,43.0148681,48504.0,-83.7186906,0.126,75978,0,1.0
2200,0,1926,0.0,0,100.0,0,43.00595,48503.0,-83.73003299999999,0.092,62083,0,24.0
1200,0,1953,0.0,0,100.0,279,43.04507,48504.0,-83.713153,0.10099999999999999,18932,1,1.0
12037,0,1948,0.0,17900,100.0,0,43.018789,48504.0,-83.728179,0.126,23765,5,52.0
2762,0,1944,0.0,10700,100.0,0,39.5059145,48507.0,-84.39234590000001,0.10800000000000001,77365,5,16.0
688,0,1953,0.0,11400,100.0,0,43.027285,48503.0,-83.72260899999999,0.107,79477,5,7.0
2252,0,1927,0.0,0,100.0,0,43.018705,48504.0,-83.712117,0.14400000000000002,66967,0,2.0
1091,0,1955,0.0,0,100.0,0,43.063623,48504.0,-83.72443100000001,0.131,48072,1,0.0
9000,0,1967,0.0,14300,100.0,0,43.009183,48503.0,-83.646694,0.10300000000000001,19578,1,0.0
619700,0,0,4371309.23,0,0.0,1106866,42.99526470000001,48507.0,-83.6682405,123.94,0,0,2.0
1300,0,1963,0.0,13400,100.0,0,43.0701598,48505.0,-83.7209244,0.11900000000000001,25472,1,1.0
482,0,1915,0.0,4900,100.0,0,37.773429,48505.0,-122.42940700000001,0.121,24037,11,2.0
3020,0,1920,0.0,0,100.0,0,43.0167487,48504.0,-83.7170399,0.171,102948,11,3.0
1095,0,1961,0.0,14600,100.0,0,46.404726399999994,48506.0,-120.49608,0.275,109565,1,0.0
415,0,0,0.0,3200,100.0,0,43.044139,48505.0,-83.695032,0.099,20051,11,125.0
1000,0,1951,0.0,9700,100.0,0,43.054322,48505.0,-83.71248100000001,0.115,18458,1,0.0
2700,0,1949,0.0,10100,100.0,0,42.990421999999995,48507.0,-83.687012,0.10300000000000001,80372,1,1.0
1377,0,1939,0.0,0,100.0,0,43.047377000000004,48505.0,-83.70830090000001,0.11800000000000001,25950,1,6.0
940,0,1955,0.0,8600,100.0,0,43.057942,48504.0,-83.730183,0.12300000000000001,50253,1,0.0
23543,0,1928,0.0,35200,100.0,0,42.308184000000004,48503.0,-83.11358,0.126,171928,0,6.0
668,0,0,0.0,5900,100.0,0,43.028369,48503.0,-83.7124,0.076,10065,11,0.0
2664,0,1952,0.0,8900,100.0,0,42.994091999999995,48507.0,-83.655367,0.125,14043,1,1.0
326,0,1950,0.0,0,0.0,0,43.0736359,48505.0,-83.69919959999999,0.096,24160,1,0.0
972,0,1957,0.0,0,100.0,0,42.2855358,48504.0,-91.5740788,0.124,73974,1,0.0
280,0,0,0.0,2700,100.0,0,43.026733,48503.0,-83.703869,0.121,5130,5,2.0
3500,0,1927,0.0,12200,100.0,0,33.990150899999996,48507.0,-118.4578051,0.161,83091,0,1.0
9480,0,1956,0.0,11900,100.0,0,42.9859995,48507.0,-83.67146020000001,0.18100000000000002,90348,1,33.0
71760,0,1926,0.0,79000,100.0,0,42.995002899999996,48503.0,-83.719944,0.821,41715,11,4.0
7000,0,1951,0.0,0,0.0,0,42.995978,48532.0,-83.735694,0.11,9116,1,0.0
16840,0,1954,0.0,0,100.0,0,42.9819461,48507.0,-83.70275490000002,0.172,13191,1,0.0
326,0,1953,0.0,4600,100.0,0,43.070361299999995,48505.0,-83.70335759999999,0.096,28193,1,2.0
28679,0,1955,0.0,30800,100.0,0,43.0179974,48503.0,-83.667264,0.155,158687,1,7.0
9898,0,1926,0.0,15400,100.0,0,35.1976394,48504.0,-90.03464670000001,0.11599999999999999,105094,1,4.0
20173,0,1945,0.0,35000,100.0,0,42.994119,48503.0,-83.723837,0.237,24133,1,12.0
1400,0,1946,0.0,9200,100.0,0,42.999927500000005,48503.0,-83.7251338,0.092,54191,0,0.0
7300,0,1954,0.0,9700,100.0,0,42.995931,48532.0,-83.737439,0.138,12124,1,4.0
2252,0,1928,0.0,9100,100.0,0,43.030303,48506.0,-83.64260999999999,0.115,59014,1,0.0
691,0,1940,0.0,5900,100.0,0,24.560462,48505.0,-81.79471099999999,0.098,31688,1,14.0
18750,0,1964,0.0,16500,100.0,433,43.025003000000005,48503.0,-83.665972,0.126,107634,1,0.0
7430,0,1926,0.0,6200,100.0,0,42.987159999999996,48507.0,-83.663267,0.132,71194,1,0.0
11000,0,1956,0.0,11000,100.0,0,43.005668,48503.0,-83.64093299999999,0.126,10968,1,2.0
420,0,1929,0.0,0,100.0,0,31.772957,48506.0,-106.47461129999999,0.10099999999999999,9730,0,0.0
66273,0,0,654771.4397,0,0.0,76050,42.9963817,48503.0,-83.6788367,7.96,0,1,2.0
420,0,1927,0.0,5800,100.0,0,43.042769,48506.0,-83.672043,0.10099999999999999,10088,11,2.0
81135,0,2002,0.0,49600,100.0,2343,35.1138411,48503.0,-89.823661,0.8420000000000001,219121,0,0.0
1394,0,0,0.0,11100,100.0,0,43.006425,48503.0,-83.71906700000001,0.087,76670,0,2.0
1500,0,1962,0.0,14200,100.0,0,43.072849,48505.0,-83.72223000000001,0.138,26845,1,1.0
5252,0,0,0.0,7300,100.0,0,46.4046534,48506.0,-120.4562769,0.175,8072,1,2.0
1237,0,1959,0.0,9600,100.0,0,43.055727000000005,48504.0,-83.725076,0.20800000000000002,62407,1,0.0
2266,0,1927,0.0,7400,100.0,0,43.02355,48504.0,-83.721621,0.11599999999999999,32669,0,0.0
5523,0,1947,0.0,0,0.0,0,42.987132,48507.0,-83.68422,0.217,60580,0,3.0
1277,0,1963,0.0,13100,100.0,0,34.388346999999996,48504.0,-80.01120999999999,0.153,84562,1,0.0
1640,0,1916,0.0,6100,100.0,0,31.0966225,48506.0,-97.72242750000001,0.096,40668,11,3.0
335,0,0,0.0,5300,100.0,0,39.95196,48505.0,-74.140434,0.064,23885,11,4.0
1857,0,1915,0.0,4224,33.0,0,26.0632696,48503.0,-80.1504648,0.09,18314,11,31.0
865,0,1924,0.0,0,100.0,0,43.0269165,48503.0,-83.6727081,0.151,9238,11,3.0
10640,0,1955,0.0,17600,100.0,0,43.038746,48506.0,-83.63779699999999,0.129,18175,1,1.0
18510,0,1983,0.0,35000,100.0,0,42.982088399999995,48507.0,-83.7071713,0.187,42019,1,8.0
896,0,1950,0.0,8600,100.0,0,43.050163399999995,48504.0,-83.7182026,0.128,16245,1,0.0
53119,0,1950,0.0,41200,100.0,805,43.020521,48503.0,-83.668728,0.341,246577,1,1144.0
18000,0,1950,0.0,17300,100.0,0,42.9988349,48503.0,-83.72164570000001,0.092,12311,1,0.0
1400,0,1925,0.0,10300,100.0,0,43.002699,48503.0,-83.72155500000001,0.092,66646,1,2.0
765,0,1950,0.0,10200,100.0,0,43.048765,48504.0,-83.71916800000001,0.10300000000000001,19615,0,17.0
417,0,0,0.0,0,0.0,0,42.9942804,48503.0,-83.67705440000002,0.1,27342,11,2.0
3375,0,1923,0.0,0,100.0,0,43.035342,48506.0,-83.648376,0.10300000000000001,28350,0,0.0
5625,0,1965,0.0,0,100.0,0,43.029652,48504.0,-83.736195,0.172,26380,1,0.0
683,0,0,0.0,7500,100.0,0,43.029472,48503.0,-83.70835799999999,0.128,14245,11,132.0
18750,0,1965,0.0,19200,100.0,0,40.622735799999994,48503.0,-75.41273249999999,0.126,138716,1,52.0
11046,0,1963,0.0,0,100.0,3549,42.4540735,48506.0,-96.4138969,0.149,17561,1,0.0
1500,0,1962,0.0,0,100.0,405,43.072843,48505.0,-83.719913,0.138,17986,1,2.0
2250,0,1926,0.0,7800,100.0,0,43.022426,48504.0,-83.717929,0.115,43405,11,24.0
771,0,1944,0.0,12200,100.0,0,43.030144899999996,48504.0,-83.7263663,0.121,69650,0,154.0
25043,0,1955,0.0,23400,100.0,683,43.013263,48504.0,-83.719938,0.214,18138,1,3.0
492,0,1924,0.0,6500,100.0,0,44.047631,48505.0,-91.64863000000001,0.126,32998,11,3.0
4000,0,1923,0.0,10000,100.0,479,43.0063602,48503.0,-83.73108309999999,0.092,63945,0,1.0
