,tempm,tempm_1,tempm_2,tempm_3,tempm_4,tempm_5,dewptm_1,dewptm_2,dewptm_3,dewptm_4,dewptm_5,pressurem_1,pressurem_2,pressurem_3,pressurem_4,pressurem_5,humidity_1,humidity_2,humidity_3,humidity_4,humidity_5,precipm_1,precipm_2,precipm_3,precipm_4,precipm_5
21,81.95,89.75,86.64,83.03,82.32,81.61,71.01,63.71,60.73,66.08,71.34,1014.9,1019.1,1020.0,1017.4,1012.7,0.54,0.46,0.47,0.58,0.71,0.0,0.0,0.0,0.0019,0.0198
22,85.14,81.95,89.75,86.64,83.03,82.32,73.06,71.01,63.71,60.73,66.08,1008.8,1014.9,1019.1,1020.0,1017.4,0.75,0.54,0.46,0.47,0.58,0.0161,0.0,0.0,0.0,0.0019
23,81.53,85.14,81.95,89.75,86.64,83.03,60.42,73.06,71.01,63.71,60.73,1012.1,1008.8,1014.9,1019.1,1020.0,0.43,0.75,0.54,0.46,0.47,0.0003,0.0161,0.0,0.0,0.0
24,82.78,81.53,85.14,81.95,89.75,86.64,69.73,60.42,73.06,71.01,63.71,1010.7,1012.1,1008.8,1014.9,1019.1,0.67,0.43,0.75,0.54,0.46,0.0351,0.0003,0.0161,0.0,0.0
25,82.24,82.78,81.53,85.14,81.95,89.75,61.09,69.73,60.42,73.06,71.01,1012.5,1010.7,1012.1,1008.8,1014.9,0.48,0.67,0.43,0.75,0.54,0.0,0.0351,0.0003,0.0161,0.0
26,72.3,82.24,82.78,81.53,85.14,81.95,60.45,61.09,69.73,60.42,73.06,1013.5,1012.5,1010.7,1012.1,1008.8,0.48,0.48,0.67,0.43,0.75,0.0,0.0,0.0351,0.0003,0.0161
27,68.3,72.3,82.24,82.78,81.53,85.14,66.21,60.45,61.09,69.73,60.42,1010.8,1013.5,1012.5,1010.7,1012.1,0.81,0.48,0.48,0.67,0.43,0.0266,0.0,0.0,0.0351,0.0003
28,79.83,68.3,72.3,82.24,82.78,81.53,63.53,66.21,60.45,61.09,69.73,1010.0,1010.8,1013.5,1012.5,1010.7,0.85,0.81,0.48,0.48,0.67,0.01,0.0266,0.0,0.0,0.0351
29,71.86,79.83,68.3,72.3,82.24,82.78,65.64,63.53,66.21,60.45,61.09,1013.0,1010.0,1010.8,1013.5,1012.5,0.62,0.85,0.81,0.48,0.48,0.0092,0.01,0.0266,0.0,0.0
30,74.93,71.86,79.83,68.3,72.3,82.24,59.76,65.64,63.53,66.21,60.45,1014.1,1013.0,1010.0,1010.8,1013.5,0.66,0.62,0.85,0.81,0.48,0.0041,0.0092,0.01,0.0266,0.0
